               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032504,            0.031921,           0.0079415,             0.74915,             0.64201,             0.71437,             0.44489,            0.038101,            0.025551,            0.012119,            0.002872,            0.002872,            0.002872
                  38,            0.032208,            0.031565,           0.0076217,             0.77008,             0.63465,             0.72163,              0.4519,            0.037954,            0.025631,             0.01186,            0.002674,            0.002674,            0.002674
                  39,             0.03215,            0.031095,           0.0074768,             0.75749,             0.64903,             0.72152,              0.4533,            0.038064,            0.025737,             0.01252,            0.002476,            0.002476,            0.002476
                  40,            0.031429,            0.030635,           0.0073985,             0.74856,             0.65141,             0.71716,             0.45551,            0.038046,            0.025919,            0.012244,            0.002278,            0.002278,            0.002278
                  41,            0.031288,            0.030878,           0.0071501,             0.76657,             0.65157,             0.72685,             0.45668,            0.037763,            0.025698,            0.011695,             0.00208,             0.00208,             0.00208
                  42,            0.030775,            0.030372,           0.0071958,             0.76441,             0.64762,             0.71993,             0.45723,            0.037694,            0.026139,            0.012083,            0.001882,            0.001882,            0.001882
                  43,            0.030708,            0.029947,           0.0070946,             0.78375,             0.66346,             0.73478,             0.46302,            0.037764,            0.026025,            0.011926,            0.001684,            0.001684,            0.001684
                  44,            0.030249,            0.030129,           0.0067481,             0.75449,             0.67629,             0.73399,              0.4649,             0.03764,            0.026043,            0.011868,            0.001486,            0.001486,            0.001486
                  45,            0.030002,            0.030066,            0.006747,             0.77219,             0.66399,             0.73559,             0.47234,            0.037709,            0.026096,            0.011563,            0.001288,            0.001288,            0.001288
                  46,            0.029948,            0.029953,           0.0064569,             0.78792,             0.64551,              0.7313,             0.46883,            0.037448,            0.026168,            0.012071,             0.00109,             0.00109,             0.00109
                  47,            0.029566,            0.029455,           0.0064742,             0.77373,             0.64824,             0.72426,             0.46823,            0.037528,            0.026177,            0.012201,            0.000892,            0.000892,            0.000892
                  48,            0.029289,            0.028573,           0.0062544,             0.76356,             0.65897,             0.73198,             0.47376,            0.037486,            0.026363,            0.011834,            0.000694,            0.000694,            0.000694
                  49,            0.029186,            0.028622,            0.005982,             0.76126,             0.66452,             0.73233,             0.47349,             0.03729,            0.026314,            0.011978,            0.000496,            0.000496,            0.000496
